Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Bradley Sylve,12070,NO,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Catalina,12300,CAR,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mikey Bart,12310,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Thompson,12330,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algernon Brown,12260,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Reilly,12150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Talley,12160,GB,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Swain,12190,KC,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakeir Ryan,12340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Jarwin,12320,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phazahn Odom,12350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lindsay,12660,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Magnuson,12280,LV,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cohl Cabral,12740,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Kelley,13750,LAC,55.3,,,,,,,,,10.0,7.0,26.0,0.0,,94.0,376.0,2.0,4.0,0.0,,,,,,,,,,,,,,,
Chris Casher,22810,NYG,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Bradley,23250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcell Ateman,23670,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landon Lechler,23300,CIN,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
